"ridge" "grridge" "gren1" "gren2" "gren3" "enet1" "enet2" "enet3" "sgl1" "sgl2" "sgl3" "cmcp1" "cmcp2" "cmcp3" "gel1" "gel2" "gel3"
"pred108" 0.33745630096451 0.335579865217674 0.34150364928352 0.240090688220317 0.204381005982702 0.365237916595219 0.319536209049947 0.26211938501932 0.5 0.5 0.5 0.408816858612314 0.472000107645658 0.485208770878033 0.324804132563939 0.490980276323761 0.498075067205272
"pred109" 0.598697260419557 0.595603436557238 0.608792906986602 0.695040649754167 0.779923548997445 0.62313195564404 0.582539313981391 0.53320507973494 0.785904653984415 0.718713626568387 0.8503804144256 0.500284803957191 0.511582116180598 0.501290930028932 0.571513858206705 0.531306704729928 0.998567393379501
"pred110" 0.437747809770217 0.427263507693453 0.381190631430375 0.331205399859462 0.310490030109464 0.415354688392828 0.469491581160987 0.476808615577249 0.168926306605183 0.0625855547910023 0.0723291242404121 0.464555152034956 0.464011616391727 0.455448183046402 0.416329496465047 0.33641884585433 0.308777634795624
"pred111" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"pred112" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"pred113" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"pred114" 0.441935389733915 0.440812292990218 0.414359379348371 0.308842879846928 0.340181611109802 0.43710409931006 0.437718887200176 0.390553955712949 0.5 0.0218051382080061 0.00477271192035182 0.395083929577053 0.48723170138992 0.45847256121864 0.43988444440584 0.335139444701616 0.302987816054294
"pred115" 0.460035743511916 0.462634620617192 0.519711572556667 0.584102559431606 0.605615161619691 0.502142966887471 0.555769734225079 0.59868326614254 0.493789693621091 0.416812948052801 0.720570194516028 0.540640985002136 0.50056280606554 0.496336889940008 0.482647184222482 0.439035000645695 0.425175609976901
"pred116" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"pred117" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"pred118" 0.661400978724027 0.659515796683262 0.720764286874743 0.562561354504163 0.687288989268683 0.731509960042373 0.574164951791167 0.716555353830215 0.783021248588769 0.68702319013093 0.921918601761478 0.60210733147017 0.559845986940156 0.542774848357748 0.775757279614502 0.611073072753705 0.912355887550443
"pred119" 0.403027365469175 0.403027365469175 0.383823445718185 0.362622962424895 0.316483414195406 0.392635160971187 0.456768362670927 0.452663828341547 0.605753056492488 0.588683106785657 0.092349032623557 0.470988201670289 0.483733164795435 0.48346429739969 0.457632372599695 0.481488631954054 0.481120145342599
"pred120" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"pred121" 0.25562471170701 0.257041537107532 0.2816195168505 0.307985640977661 0.253351180546277 0.281319859510266 0.444212715945597 0.413308946744366 0.227023493795066 0.00796011453171617 0.0423546789647109 0.431659346617658 0.49629860599633 0.490596596884786 0.472453679883295 0.41321818647833 0.394585361565856
"pred122" 0.474769955920274 0.471804725379636 0.421838924560584 0.306414870821541 0.236588778387492 0.413767963378103 0.451548520168391 0.203872668009626 0.388513891759137 0.416941337994755 0.0508893375233786 0.360084590357906 0.516171331194202 0.515921903566876 0.451619700648477 0.51842387021716 0.0671789649819174
"pred123" 0.30802153144053 0.30802153144053 0.309673293549919 0.45301733713626 0.482364202366583 0.298647193798535 0.411727750268365 0.40449720047962 0.159424243566047 0.184854068522629 0.0126068768114441 0.445795375353698 0.452141975922328 0.430050203879218 0.414341674950071 0.287475897189365 0.260621685477321
"pred124" 0.491863084391194 0.494890110316833 0.407252950610325 0.557294935747202 0.364710898195427 0.441938346406525 0.532804678648711 0.400260164497247 0.415398409876326 0.461860348146781 0.616670383902743 0.495628921515021 0.557136299100351 0.541102201614473 0.372846402929864 0.605442423475894 0.758494654238194
"pred125" 0.557489945217301 0.557061648589926 0.577082343979466 0.481108641398519 0.301263925169309 0.58428790006179 0.619422878930067 0.580656233304756 0.461704862574055 0.457071619090087 0.917481777253055 0.502273042232766 0.534871116469896 0.511409889591992 0.492850220488771 0.57747844172761 0.0477994967070122
