"gren1" "gren2" "gren3" "enet1" "enet2" "enet3"
"combn331" 8 10 12 2 2 1
"combn332" 15 13 8 5 2 2
"combn333" 7 8 6 2 1 3
"combn334" 6 10 9 1 2 1
"combn335" 13 11 8 5 4 3
"combn336" 8 14 11 4 5 3
"combn337" 8 10 10 2 4 4
"combn338" 12 9 7 3 2 2
"combn339" 4 6 6 2 2 1
"combn340" 16 17 12 5 3 3
"combn341" 9 10 10 4 6 7
"combn342" 9 9 10 2 3 3
"combn343" 12 14 11 3 3 4
"combn344" 11 9 10 1 2 2
"combn345" 6 7 8 3 4 3
"combn346" 10 10 6 4 6 4
"combn347" 13 11 9 3 4 5
"combn348" 8 8 9 2 2 2
"combn349" 10 14 10 5 4 4
"combn350" 11 11 8 3 3 2
"combn351" 14 15 11 2 3 2
"combn352" 11 12 9 2 1 1
"combn353" 6 12 10 3 3 4
"combn354" 13 9 10 2 2 3
"combn355" 12 11 11 2 3 4
"combn356" 10 12 9 3 3 3
"combn357" 3 4 1 5 4 2
"combn358" 14 12 8 6 6 7
"combn359" 13 12 10 2 5 4
"combn360" 12 14 9 5 5 3
"combn361" 10 9 8 2 1 3
"combn362" 12 12 7 3 3 3
"combn363" 7 8 9 0 2 2
"combn364" 13 11 5 3 4 2
"combn365" 10 11 9 2 4 3
"combn366" 10 14 13 5 7 6
"combn367" 11 10 7 0 3 1
"combn368" 13 12 8 2 3 3
"combn369" 13 10 9 6 7 6
"combn370" 14 11 11 2 4 2
"combn371" 14 15 12 4 6 4
"combn372" 9 16 10 5 4 4
"combn373" 13 13 11 3 5 3
"combn374" 9 12 8 7 7 4
"combn375" 13 13 9 3 4 3
"combn376" 10 10 12 3 3 2
"combn377" 6 9 6 2 2 4
"combn378" 10 12 11 4 7 4
"combn379" 8 11 6 2 2 3
"combn380" 9 12 9 2 2 4
"combn381" 9 8 6 0 3 2
"combn382" 9 11 8 3 3 5
"combn383" 9 9 8 2 1 1
"combn384" 11 12 12 5 5 7
"combn385" 8 9 8 6 6 6
"combn386" 7 9 9 2 4 6
"combn387" 8 11 11 0 0 1
"combn388" 8 10 10 3 6 2
"combn389" 12 12 9 2 2 1
"combn390" 8 10 7 2 3 3
"combn391" 13 12 10 4 4 2
"combn392" 13 14 9 3 3 4
"combn393" 7 10 6 0 0 1
"combn394" 12 14 11 9 8 5
"combn395" 10 9 7 2 1 2
"combn396" 11 12 11 4 5 1
"combn397" 2 2 0 7 8 6
"combn398" 2 2 0 4 3 1
"combn399" 2 2 0 5 4 3
"combn400" 0 0 0 1 1 0
"combn401" 2 2 0 4 3 3
"combn402" 1 2 0 0 3 3
"combn403" 1 1 0 6 4 4
"combn404" 1 1 0 2 4 3
"combn405" 2 2 0 3 3 2
"combn406" 1 2 0 0 2 2
"combn407" 0 1 0 1 1 1
"combn408" 2 2 0 3 4 4
"combn409" 3 2 0 4 4 2
"combn410" 1 1 0 5 3 3
"combn411" 1 2 0 2 1 0
"combn412" 3 2 0 5 5 3
"combn413" 7 6 1 9 8 5
"combn414" 3 2 0 4 3 4
"combn415" 0 1 0 1 1 2
"combn416" 0 2 0 1 4 3
"combn417" 5 3 0 7 7 4
"combn418" 9 8 4 4 4 3
"combn419" 2 2 0 2 4 5
"combn420" 1 1 0 0 1 1
"combn421" 0 1 0 2 2 2
"combn422" 2 1 0 3 2 1
"combn423" 0 0 0 0 0 0
"combn424" 7 4 1 7 8 3
"combn425" 1 1 0 0 3 2
"combn426" 1 2 0 0 2 1
"combn427" 2 2 0 5 5 0
"combn428" 1 2 0 1 2 2
"combn429" 0 1 0 2 3 1
"combn430" 2 2 0 1 1 0
"combn431" 2 2 0 3 6 5
"combn432" 0 1 0 0 2 1
"combn433" 2 2 0 6 8 5
"combn434" 2 2 0 3 3 1
"combn435" 4 4 2 5 7 2
"combn436" 12 15 10 1 0 3
"combn437" 14 12 9 5 3 2
"combn438" 14 12 14 6 4 3
"combn439" 13 11 13 3 3 5
"combn440" 13 12 11 4 6 5
"combn441" 10 8 6 2 0 0
"combn442" 9 11 10 2 5 4
"combn443" 10 11 11 3 4 6
"combn444" 11 9 7 0 0 1
"combn445" 14 12 7 2 2 3
"combn446" 12 11 10 2 4 4
"combn447" 11 9 9 5 6 4
"combn448" 10 11 10 4 4 5
"combn449" 12 11 8 3 2 4
"combn450" 13 13 8 3 3 1
"combn451" 10 13 10 7 6 3
"combn452" 14 11 8 3 0 4
"combn453" 11 9 12 3 4 4
"combn454" 13 17 12 9 8 3
"combn455" 18 18 13 6 9 8
"combn456" 8 12 10 3 2 2
"combn457" 14 13 12 2 2 5
"combn458" 10 9 10 3 3 4
"combn459" 9 8 10 1 2 2
"combn460" 14 13 11 2 1 2
"combn461" 13 8 7 3 2 4
"combn462" 11 13 11 5 7 5
"combn463" 13 11 10 3 5 5
"combn464" 9 13 9 1 4 1
"combn465" 12 13 9 2 3 3
"combn466" 16 15 13 8 7 4
"combn467" 14 15 13 8 8 5
"combn468" 15 13 8 1 0 1
"combn469" 18 18 16 12 11 9
"combn470" 8 9 10 1 2 2
"combn471" 17 17 13 6 7 7
"combn472" 12 11 12 3 2 3
"combn473" 15 17 11 3 4 0
"combn474" 14 12 10 3 3 4
"combn475" 10 14 11 3 4 2
"combn476" 12 13 11 4 7 6
"combn477" 8 15 13 0 1 3
"combn478" 16 14 9 7 5 3
"combn479" 13 11 12 3 5 3
"combn480" 11 14 12 1 5 4
"combn481" 9 12 12 1 4 2
"combn482" 16 16 11 7 7 3
"combn483" 19 16 15 9 6 6
"combn484" 10 7 7 1 2 2
"combn485" 14 9 12 4 4 4
"combn486" 15 15 11 2 3 5
"combn487" 15 12 8 2 3 3
"combn488" 10 14 7 2 4 3
"combn489" 15 15 9 3 6 6
"combn490" 10 12 11 1 2 2
"combn491" 9 12 8 3 5 2
"combn492" 11 15 12 3 4 4
"combn493" 9 8 5 7 6 4
"combn494" 13 17 9 2 3 3
"combn495" 11 12 12 6 9 5
"combn496" 9 12 14 1 5 5
"combn497" 13 12 7 7 6 6
"combn498" 11 10 9 3 4 2
"combn499" 10 7 4 2 3 4
"combn500" 9 13 10 4 5 3
"combn501" 10 12 10 3 4 4
"combn502" 8 11 9 2 4 3
"combn503" 13 15 9 2 3 2
"combn504" 10 15 8 1 2 4
"combn505" 17 14 12 5 6 6
"combn506" 12 16 11 2 1 1
"combn507" 9 13 12 1 4 2
"combn508" 12 12 10 2 3 4
"combn509" 14 13 9 7 3 3
"combn510" 11 16 10 1 3 2
"combn511" 11 9 10 1 2 2
"combn512" 13 13 12 3 4 1
"combn513" 9 9 10 0 1 1
"combn514" 16 13 8 1 3 3
"combn515" 12 11 7 5 6 5
"combn516" 9 13 8 3 3 3
"combn517" 8 12 5 0 1 0
"combn518" 13 11 6 0 0 0
"combn519" 15 13 11 2 4 3
"combn520" 12 9 7 1 2 2
"combn521" 12 13 10 4 7 3
"combn522" 14 14 13 2 1 0
"combn523" 14 16 10 1 4 5
"combn524" 8 11 8 8 8 4
"combn525" 14 15 9 2 1 1
"combn526" 7 12 10 1 1 0
"combn527" 10 12 10 0 2 2
"combn528" 14 14 12 7 6 5
"combn529" 9 9 5 1 1 1
"combn530" 13 14 11 0 0 2
"combn531" 10 11 8 4 4 2
"combn532" 7 13 9 2 2 2
"combn533" 14 11 9 7 4 1
"combn534" 12 10 7 1 0 2
"combn535" 10 8 5 2 2 2
"combn536" 12 9 8 4 3 2
"combn537" 9 16 11 0 1 2
"combn538" 11 13 12 5 3 3
"combn539" 13 14 12 1 1 2
"combn540" 12 12 10 4 3 3
"combn541" 14 10 8 0 1 1
"combn542" 16 14 11 5 3 3
"combn543" 4 11 9 0 1 0
"combn544" 16 15 12 6 4 3
"combn545" 10 12 10 4 2 1
"combn546" 13 13 10 3 2 2
"combn547" 11 10 13 3 4 1
"combn548" 13 15 13 4 5 3
"combn549" 8 9 8 0 1 1
"combn550" 11 14 10 2 3 1
"combn551" 12 13 11 1 2 2
"combn552" 10 8 7 1 3 2
"combn553" 16 13 9 4 5 3
"combn554" 13 13 12 2 4 4
"combn555" 8 6 6 2 0 1
"combn556" 8 7 8 0 0 0
"combn557" 14 14 12 2 1 2
"combn558" 9 11 10 0 0 1
"combn559" 8 10 7 3 2 2
"combn560" 13 10 10 1 2 3
"combn561" 16 11 12 4 2 2
"combn562" 15 12 11 11 9 5
"combn563" 11 13 13 1 1 3
"combn564" 8 9 8 0 2 3
"combn565" 13 17 14 3 3 3
"combn566" 7 9 12 4 5 4
"combn567" 14 10 10 2 3 1
"combn568" 14 14 12 3 3 4
"combn569" 18 12 10 6 5 3
"combn570" 6 8 8 1 1 3
"combn571" 15 17 14 8 6 5
"combn572" 8 11 10 2 3 2
"combn573" 8 11 8 4 1 0
"combn574" 14 12 14 7 6 4
"combn575" 17 15 13 11 8 4
"combn576" 14 13 10 1 3 4
"combn577" 15 16 16 11 8 2
"combn578" 15 14 10 2 4 5
"combn579" 14 11 13 4 1 2
"combn580" 8 10 10 2 5 3
"combn581" 15 14 12 0 2 2
"combn582" 10 8 9 1 2 2
"combn583" 10 11 10 1 2 3
"combn584" 15 14 9 2 3 3
"combn585" 14 14 12 10 8 7
"combn586" 13 12 6 1 5 6
"combn587" 12 8 6 5 5 1
"combn588" 11 11 12 1 2 2
"combn589" 17 10 7 5 5 6
"combn590" 8 11 9 4 4 5
"combn591" 10 11 9 3 2 4
"combn592" 13 16 12 3 3 2
"combn593" 11 10 8 7 5 3
"combn594" 12 13 11 6 4 5
"combn595" 11 13 10 3 5 7
"combn596" 9 11 14 4 5 1
"combn597" 12 13 14 6 5 6
"combn598" 7 8 7 0 1 1
"combn599" 11 12 11 0 2 4
"combn600" 10 11 11 3 6 2
"combn601" 15 15 13 9 10 9
"combn602" 11 10 11 4 5 3
"combn603" 15 11 7 6 4 4
"combn604" 9 9 7 7 5 5
"combn605" 12 12 10 3 4 2
"combn606" 12 13 14 3 5 6
"combn607" 15 12 13 6 4 3
"combn608" 9 10 14 1 3 3
"combn609" 11 10 11 2 3 4
"combn610" 12 10 8 0 3 2
"combn611" 17 16 14 4 2 3
"combn612" 7 9 11 0 3 3
"combn613" 15 13 11 3 1 4
"combn614" 9 8 13 2 2 3
"combn615" 11 12 12 2 1 1
"combn616" 6 8 7 0 0 0
"combn617" 10 12 8 1 2 3
"combn618" 10 11 8 1 1 2
"combn619" 17 12 13 8 4 1
"combn620" 13 15 8 1 1 1
"combn621" 7 14 12 0 1 2
"combn622" 7 9 8 1 1 2
"combn623" 3 6 9 0 0 0
"combn624" 10 11 9 2 0 2
"combn625" 6 10 9 0 0 0
"combn626" 6 9 7 0 2 0
"combn627" 12 10 8 1 1 3
"combn628" 12 8 8 3 3 2
"combn629" 13 11 9 6 4 0
"combn630" 13 11 9 1 1 3
"combn631" 3 8 8 0 0 0
"combn632" 16 15 11 3 6 4
"combn633" 12 11 10 2 2 2
"combn634" 13 8 10 1 1 1
"combn635" 13 11 9 0 0 0
"combn636" 14 10 9 3 4 3
"combn637" 6 6 8 1 0 1
"combn638" 15 17 14 5 6 2
"combn639" 13 10 8 3 2 1
"combn640" 11 9 10 2 4 3
"combn641" 13 12 8 7 2 1
"combn642" 15 14 10 5 6 3
"combn643" 10 12 11 1 2 2
"combn644" 11 13 14 5 7 2
"combn645" 13 13 10 1 1 1
"combn646" 10 10 11 0 2 1
