"miRNA"	"precursor"	"geomeanM"	"geomeanMN"	"geomeanP"	"geomeanPN"	"medianM"	"medianMN"	"medianP"	"medianPN"	"maxM"	"maxMN"	"maxP"	"maxPN"	"BFDR_MNminPN"	"BFDR_MNminM"	"BFDR_MminP"	"BFDR_PNminP"	"BFDR_MNminPNcorr"	"logfc_MNminPN"	"logfc_MNminM"	"logfc_MminP"	"logfc_PNminP"	"logfc_MNminPNcorr"
"hsa-miR-379-5p"	"hsa-mir-379"	17.8	22.6	23	28.7	18	24	30	28	119	51	163	83	0.425575059994523	0.421597087066931	0.335249392599903	0.475893244666158	0.655319969648664	-0.044836473696492	0.0277589071628063	-0.153710762917241	-0.00924334265525241	-0.00908031389571204
"hsa-miR-381-5p"	"hsa-mir-381"	0.32	0.34	0.04	0.49	0	0	0	1	4	2	3	3	0.20568387364586	0.401429371322475	0.732111390652825	0.185904869690018	0.693920713584086	-0.265099233857045	-0.0289961607995858	-0.0050759595881888	0.281838324364677	0.361489955153137
"hsa-miR-382-5p"	"hsa-mir-382"	18.3	18.6	24.1	17.2	17	13	28	16	64	33	76	46	0.212939630098326	0.446579793261734	0.591385633646063	0.00177875744895421	0.688178456500463	-0.130749726224541	-0.0332330042870465	-0.0736620954799155	-0.505583757340506	0.00700258831603121
"hsa-miR-383-5p"	"hsa-mir-383"	0.5	1.89	1.62	0.48	0	9	1	0	8	23	15	14	0.00334606833731174	6.74050901238256e-05	0.369471098473347	0.350373487591521	0.00306857192319965	1.44602162795478	2.08856781377517	-0.181809903638588	-0.086929930582042	-1.87937566767269
"hsa-miR-3912-5p"	"hsa-mir-3912"	0.15	0.11	0.04	0.15	0	0	0	0	1	1	1	2	0.420310437111681	0.305055618420314	0.699362827780772	0.369132621478587	0.58975838388017	0.0587029178279219	0.133448069980228	-0.00838154696539994	0.0842263568197944	0.0931186062278355
"hsa-miR-3934-5p"	"hsa-mir-3934"	6.74	2.68	6.81	6.35	7	1	5	6	21	18	21	16	0.0168582064978626	0.00120386191797571	0.304228922945716	0.207551146487428	0.000406672686100205	-0.6936019449231	-0.96258467678785	0.0878190407498797	0.0842040707993979	1.16733568095798
"hsa-miR-3940-5p"	"hsa-mir-3940"	0.19	0.1	0.1	0.11	0	0	0	0	3	2	4	2	0.393081647407002	0.333737914035926	0.695233945229965	0.354640799880364	0.422628150220344	0.0652424211870333	-0.0877453251808884	0.0081613114013922	-0.0677681082294403	0.064309224278498
"hsa-miR-3942-5p"	"hsa-mir-3942"	1.97	1.5	1.55	1.45	2	2	1	1	13	7	12	4	0.414675664632796	0.273320428424113	0.616968255192825	0.290090224641647	0.530883065405099	0.0546504611815475	-0.119523630986526	0.0437830527649472	-0.11494379598709	0.00890119958808343
"hsa-miR-409-5p"	"hsa-mir-409"	4.89	6.44	12.4	5.24	4	5	10.5	5	111	66	98	57	0.479972342741441	0.427560939166804	0.185974259087771	0.0314479193627926	0.11822782036848	-0.00796003590900875	0.0131777208962227	-0.324901150863944	-0.631891982645521	-0.553467210186364
"hsa-miR-411-5p"	"hsa-mir-411"	830	1269	1019	1419	913	1570	1173	1538	3621	4274	3747	2596	0.465301549187848	0.0207037581938969	0.514078927203643	0.400268094627214	0.468712342343333	0.0226455539782319	0.541309730979721	-0.0712544229509374	0.0349069528833234	-0.0734962119250582
